,name,price,discount
35,"<div class=""_1yN94N WoKSjC _2KkMCe"">ổ cứng di động/ USB Sandisk 128GB (SDCZ73-G46) Ultra - Bảo hành 60 tháng</div>","<div class=""cbl0HO MUmBjS""><span class=""UBgKW+"">₫</span><span class=""du3pq0"">99.000</span> - <span class=""UBgKW+"">₫</span><span class=""du3pq0"">377.000</span></div>","<div class=""oiV-yk oqpuuD POAPqq""><span class=""percent"">35%</span><span class=""Y0e-H2"">giảm</span></div>"
36,"<div class=""_1yN94N WoKSjC _2KkMCe"">Chuột máy tính không dây mỏng DPI siêu bền,Bảo Hành 12 Tháng</div>","<div class=""cbl0HO MUmBjS""><span class=""UBgKW+"">₫</span><span class=""du3pq0"">7.000</span> - <span class=""UBgKW+"">₫</span><span class=""du3pq0"">35.000</span></div>","<div class=""oiV-yk oqpuuD POAPqq""><span class=""percent"">30%</span><span class=""Y0e-H2"">giảm</span></div>"
37,"<div class=""_1yN94N WoKSjC _2KkMCe"">Tai Nghe Bluetooth Không Dây I7S Tws Phù Hợp Với Android IOS</div>","<div class=""cbl0HO MUmBjS""><span class=""UBgKW+"">₫</span><span class=""du3pq0"">28.850</span> - <span class=""UBgKW+"">₫</span><span class=""du3pq0"">51.500</span></div>","<div class=""oiV-yk oqpuuD POAPqq""><span class=""percent"">27%</span><span class=""Y0e-H2"">giảm</span></div>"
38,"<div class=""_1yN94N WoKSjC _2KkMCe"">Phễu đổ mực - dành tặng khi khách mua đơn từ 10 chai mực bất kỳ trong shop Vinhhung212</div>","<div class=""cbl0HO MUmBjS""><span class=""UBgKW+"">₫</span><span class=""du3pq0"">3.000</span></div>",
39,"<div class=""_1yN94N WoKSjC _2KkMCe"">UGREEN USB Bluetooth 5.3 5.0 Bộ thu phát không dây bộ chuyển đổi không dây cho PC Windows 11 10 8.1bluetooth Tai nghe âm thanh nổi</div>","<div class=""cbl0HO MUmBjS""><span class=""UBgKW+"">₫</span><span class=""du3pq0"">169.000</span> - <span class=""UBgKW+"">₫</span><span class=""du3pq0"">229.000</span></div>","<div class=""oiV-yk oqpuuD POAPqq""><span class=""percent"">38%</span><span class=""Y0e-H2"">giảm</span></div>"
40,"<div class=""_1yN94N WoKSjC _2KkMCe"">Bàn Phím Máy Tính Gaming RGB SIDOTECH LDK V4 Pro Có Dây / Đèn LED RGB Chống Nước Chơi Game Máy Tính Esport - Chính Hãng</div>","<div class=""cbl0HO MUmBjS""><span class=""UBgKW+"">₫</span><span class=""du3pq0"">126.000</span> - <span class=""UBgKW+"">₫</span><span class=""du3pq0"">266.000</span></div>","<div class=""oiV-yk oqpuuD POAPqq""><span class=""percent"">50%</span><span class=""Y0e-H2"">giảm</span></div>"
41,"<div class=""_1yN94N WoKSjC _2KkMCe"">Tai Nghe Chụp Tai Bluetooth Y08, P47 Tai Không Dây Có Mic, Âm Bass Cực Chất, Nghe Nhạc Cực Hay</div>","<div class=""cbl0HO MUmBjS""><span class=""UBgKW+"">₫</span><span class=""du3pq0"">50.000</span> - <span class=""UBgKW+"">₫</span><span class=""du3pq0"">55.000</span></div>","<div class=""oiV-yk oqpuuD POAPqq""><span class=""percent"">48%</span><span class=""Y0e-H2"">giảm</span></div>"
42,"<div class=""_1yN94N WoKSjC _2KkMCe"">Túi đựng laptop chống thấm nước mềm mại nhiều màu sắc</div>","<div class=""cbl0HO MUmBjS""><span class=""UBgKW+"">₫</span><span class=""du3pq0"">70.000</span> - <span class=""UBgKW+"">₫</span><span class=""du3pq0"">80.800</span></div>","<div class=""oiV-yk oqpuuD POAPqq""><span class=""percent"">41%</span><span class=""Y0e-H2"">giảm</span></div>"
43,"<div class=""_1yN94N WoKSjC _2KkMCe"">Loa Bluetooth Không Dây Cầm Tay Charge 3 Mini Nghe Nhạc Hay, Hỗ Trợ Cắm Usb Thẻ Nhớ Tf Nhỏ Gọn Giá Rẻ Đẹp</div>","<div class=""cbl0HO MUmBjS""><span class=""UBgKW+"">₫</span><span class=""du3pq0"">89.500</span></div>","<div class=""oiV-yk oqpuuD POAPqq""><span class=""percent"">50%</span><span class=""Y0e-H2"">giảm</span></div>"
44,"<div class=""_1yN94N WoKSjC _2KkMCe"">Chuột Bluetooth không dây Chất lượng cao Chuột im lặng quang học Chuột chơi game máy tính tiện dụng USB dành cho máy tính xách tay</div>","<div class=""cbl0HO MUmBjS""><span class=""UBgKW+"">₫</span><span class=""du3pq0"">61.500</span> - <span class=""UBgKW+"">₫</span><span class=""du3pq0"">68.800</span></div>","<div class=""oiV-yk oqpuuD POAPqq""><span class=""percent"">32%</span><span class=""Y0e-H2"">giảm</span></div>"
45,"<div class=""_1yN94N WoKSjC _2KkMCe"">Tai Nghe Chụp Tai Bluetooth Không Dây M6 Có Thể Gấp Gọn Tiện Lợi</div>","<div class=""cbl0HO MUmBjS""><span class=""UBgKW+"">₫</span><span class=""du3pq0"">37.600</span> - <span class=""UBgKW+"">₫</span><span class=""du3pq0"">76.450</span></div>","<div class=""oiV-yk oqpuuD POAPqq""><span class=""percent"">30%</span><span class=""Y0e-H2"">giảm</span></div>"
46,"<div class=""_1yN94N WoKSjC _2KkMCe"">Kệ để LAPTOP,MACBOOK ,IPAD có đế tản nhiệt laptop để bàn có thể điều chỉnh được độ cao, đế tản nhiệt kê laptop Nhựa ABS</div>","<div class=""cbl0HO MUmBjS""><span class=""UBgKW+"">₫</span><span class=""du3pq0"">15.000</span> - <span class=""UBgKW+"">₫</span><span class=""du3pq0"">65.000</span></div>",
47,"<div class=""_1yN94N WoKSjC _2KkMCe"">Loa Bluetooth D004B giá chỉ 109K / 1C giá tốt nhất thị trường</div>","<div class=""cbl0HO MUmBjS""><span class=""UBgKW+"">₫</span><span class=""du3pq0"">109.000</span></div>",
48,"<div class=""_1yN94N WoKSjC _2KkMCe"">Bộ bàn phím + lót + chuột máy tính có dây giả cơ G21B chuột, combo bàn phím chuột sử dụng máy tính bàn</div>","<div class=""cbl0HO MUmBjS""><span class=""UBgKW+"">₫</span><span class=""du3pq0"">31.000</span> - <span class=""UBgKW+"">₫</span><span class=""du3pq0"">124.000</span></div>","<div class=""oiV-yk oqpuuD POAPqq""><span class=""percent"">38%</span><span class=""Y0e-H2"">giảm</span></div>"
49,"<div class=""_1yN94N WoKSjC _2KkMCe"">Tai nghe không dây Bluetooth TWS AMoi F9 Pro - Chống nước IP67 - Pin 2000maH - Dùng 600 tiếng</div>","<div class=""cbl0HO MUmBjS""><span class=""UBgKW+"">₫</span><span class=""du3pq0"">101.000</span></div>","<div class=""oiV-yk oqpuuD POAPqq""><span class=""percent"">50%</span><span class=""Y0e-H2"">giảm</span></div>"
50,"<div class=""_1yN94N WoKSjC _2KkMCe"">Bàn học để laptop có khe ipad gấp gọn + Tặng 3 bút bi nước</div>","<div class=""cbl0HO MUmBjS""><span class=""UBgKW+"">₫</span><span class=""du3pq0"">67.000</span> - <span class=""UBgKW+"">₫</span><span class=""du3pq0"">75.000</span></div>","<div class=""oiV-yk oqpuuD POAPqq""><span class=""percent"">25%</span><span class=""Y0e-H2"">giảm</span></div>"
51,"<div class=""_1yN94N WoKSjC _2KkMCe"">Loa bluetooth nghe nhạc mini F4 hình đầu cho Bull vỏ chống thấm nước, hỗ trợ cắm thẻ nhớ</div>","<div class=""cbl0HO MUmBjS""><span class=""UBgKW+"">₫</span><span class=""du3pq0"">85.000</span></div>","<div class=""oiV-yk oqpuuD POAPqq""><span class=""percent"">47%</span><span class=""Y0e-H2"">giảm</span></div>"
52,"<div class=""_1yN94N WoKSjC _2KkMCe"">Chuột không dây GOOJODOQ Bluetooth 2.4Ghz 2 trong 1 chất lượng cao for ipad</div>","<div class=""cbl0HO MUmBjS""><span class=""UBgKW+"">₫</span><span class=""du3pq0"">96.000</span></div>","<div class=""oiV-yk oqpuuD POAPqq""><span class=""percent"">52%</span><span class=""Y0e-H2"">giảm</span></div>"
53,"<div class=""_1yN94N WoKSjC _2KkMCe"">Tai Nghe Chụp Tai bluetooth Thời Trang Và Phong Cách Âm Bass Ấm Sống Động Có Mic Đàm Thoại Cho Học Tập Giải Trí</div>","<div class=""cbl0HO MUmBjS""><span class=""UBgKW+"">₫</span><span class=""du3pq0"">268.000</span></div>","<div class=""oiV-yk oqpuuD POAPqq""><span class=""percent"">40%</span><span class=""Y0e-H2"">giảm</span></div>"
54,"<div class=""_1yN94N WoKSjC _2KkMCe"">[QR Code] Mã QR chất liệu Mica để bàn, hỗ trợ thanh toán cho các Shop bán hàng Offline, Online</div>","<div class=""cbl0HO MUmBjS""><span class=""UBgKW+"">₫</span><span class=""du3pq0"">50.000</span> - <span class=""UBgKW+"">₫</span><span class=""du3pq0"">65.000</span></div>",
55,"<div class=""_1yN94N WoKSjC _2KkMCe"">Loa Bluetooth Ssr Charge 3+ V5.0 Loa Mini Không Dây Pin Khủng Âm Cực Hay</div>","<div class=""cbl0HO MUmBjS""><span class=""UBgKW+"">₫</span><span class=""du3pq0"">99.000</span></div>","<div class=""oiV-yk oqpuuD POAPqq""><span class=""percent"">17%</span><span class=""Y0e-H2"">giảm</span></div>"
56,"<div class=""_1yN94N WoKSjC _2KkMCe"">Bàn Phím CƠ ZIYOU K3 Luxury Cao Cấp, Phím Gõ Êm Sử Dụng Trục Cơ Red Switch, Led 16,5 Triệu Màu 10 Chế Độ, Bảo Hành 12t</div>","<div class=""cbl0HO MUmBjS""><span class=""UBgKW+"">₫</span><span class=""du3pq0"">576.000</span></div>","<div class=""oiV-yk oqpuuD POAPqq""><span class=""percent"">48%</span><span class=""Y0e-H2"">giảm</span></div>"
57,"<div class=""_1yN94N WoKSjC _2KkMCe"">Tai nghe nhét tai không dây J18 TWS Bluetooth 5.0 âm thanh nổi bật cảm ứng</div>","<div class=""cbl0HO MUmBjS""><span class=""UBgKW+"">₫</span><span class=""du3pq0"">175.000</span> - <span class=""UBgKW+"">₫</span><span class=""du3pq0"">185.000</span></div>","<div class=""oiV-yk oqpuuD POAPqq""><span class=""percent"">42%</span><span class=""Y0e-H2"">giảm</span></div>"
58,"<div class=""_1yN94N WoKSjC _2KkMCe"">Đầu chuyển đổi OTG Baseus Ugreen 2.0 3.0 Type C  sang USB A và USB sang Type C sạc, truyền dữ liệu tốc độ cao</div>","<div class=""cbl0HO MUmBjS""><span class=""UBgKW+"">₫</span><span class=""du3pq0"">59.000</span> - <span class=""UBgKW+"">₫</span><span class=""du3pq0"">109.000</span></div>","<div class=""oiV-yk oqpuuD POAPqq""><span class=""percent"">38%</span><span class=""Y0e-H2"">giảm</span></div>"
59,"<div class=""_1yN94N WoKSjC _2KkMCe"">Loa Máy Tính Gaming Cắm Nguồn USB Hiệu Ứng Đèn LED Âm Thanh HD Chất Lượng Cao - ADP1046 / 101Z</div>","<div class=""cbl0HO MUmBjS""><span class=""UBgKW+"">₫</span><span class=""du3pq0"">35.000</span> - <span class=""UBgKW+"">₫</span><span class=""du3pq0"">68.000</span></div>",
