,Order Date
270,11
271,19
272,11
273,19
274,18
275,16
276,8
277,12
278,11
279,10
280,7
281,16
282,10
283,5
284,14
285,16
286,13
287,6
288,20
289,20
290,11
291,15
292,17
293,17
294,18
295,9
296,18
297,16
298,20
299,16
300,21
301,9
302,21
303,12
304,11
305,22
306,12
307,22
308,20
309,23
310,17
311,17
312,11
313,8
314,11
316,19
317,22
318,21
319,6
320,8
321,14
322,13
323,18
324,18
325,16
326,16
327,9
328,16
329,13
330,6
331,9
332,23
333,16
334,22
335,18
336,16
337,9
338,10
339,17
340,11
341,9
342,11
343,16
344,20
345,20
346,14
347,18
348,11
349,11
350,10
351,18
352,13
353,21
354,11
355,17
356,14
357,22
358,22
359,20
360,18
361,19
362,23
363,16
364,21
365,12
366,22
367,1
368,21
369,20
370,12
371,15
372,0
373,8
374,20
375,20
376,21
377,12
378,20
379,21
380,9
381,12
382,12
383,19
384,13
385,15
386,10
387,11
388,23
389,18
390,18
391,14
392,12
393,10
394,13
395,20
396,15
397,14
398,18
399,17
400,15
401,16
402,10
403,21
404,21
405,13
406,11
407,18
408,13
409,14
410,14
411,19
412,21
413,10
414,11
415,19
416,17
417,10
418,18
419,13
420,22
421,11
422,22
423,17
424,23
425,20
426,10
427,10
428,20
429,0
430,21
431,12
432,10
433,10
434,21
435,10
436,21
437,14
438,12
439,8
440,14
441,23
442,1
443,12
444,17
445,11
446,10
447,11
448,13
449,21
450,13
451,18
452,21
453,11
454,21
455,19
456,18
457,0
458,12
459,15
460,10
461,10
462,9
463,20
464,11
465,15
466,17
467,10
468,15
469,17
470,14
471,8
472,12
473,22
474,17
475,9
476,17
477,10
478,21
479,20
480,11
481,16
482,16
483,8
484,0
485,23
486,6
487,8
488,10
489,9
490,17
491,17
492,15
493,11
494,11
495,18
496,22
497,20
498,19
499,17
500,13
501,8
502,19
503,17
504,12
505,10
506,17
507,20
508,16
509,1
510,0
511,0
512,20
513,9
514,21
515,19
516,1
517,20
518,14
519,15
520,19
521,22
522,10
523,13
524,10
525,16
526,18
527,11
528,9
529,12
530,7
531,16
532,19
533,19
534,15
535,8
536,16
537,22
538,19
539,12
540,10
541,8
542,12
543,15
544,12
545,22
546,22
547,1
548,19
549,1
550,17
551,12
552,20
553,8
554,17
555,11
556,19
557,5
558,12
559,16
560,17
561,9
562,12
563,14
564,7
565,12
566,9
567,13
568,12
569,8
570,14
571,22
572,23
573,20
574,20
575,1
576,16
577,16
578,11
579,9
580,21
581,11
582,11
583,17
584,18
585,18
586,13
587,17
588,18
589,21
590,8
591,15
592,12
593,15
594,20
595,12
596,13
597,12
598,13
600,6
601,11
602,12
603,18
604,13
605,18
606,16
607,14
608,12
609,21
610,9
611,21
612,19
613,19
614,23
615,16
616,15
617,15
618,19
619,18
620,14
621,8
622,19
623,13
624,21
625,21
626,15
627,17
628,20
629,15
630,12
631,19
632,19
633,17
634,21
635,1
636,8
637,20
638,17
639,17
640,2
641,19
642,15
643,19
644,7
645,5
646,23
647,23
648,21
649,19
650,18
651,21
652,21
653,17
654,14
655,21
656,20
657,18
658,20
659,17
660,23
661,10
662,20
663,22
664,9
665,9
666,19
667,12
668,16
669,12
670,11
671,21
672,13
673,15
674,19
676,19
677,11
678,20
679,12
680,12
681,23
682,11
683,9
684,12
685,17
686,23
687,18
688,9
689,18
690,9
691,14
692,17
693,18
694,18
695,1
696,1
697,9
698,10
699,14
700,11
701,10
702,9
703,9
704,9
705,12
706,17
707,16
708,6
709,20
710,16
711,14
712,15
713,7
714,10
715,10
716,15
717,12
718,17
719,8
720,18
721,8
722,21
723,14
724,16
725,15
726,20
727,13
728,11
729,20
730,19
731,8
732,13
733,14
734,10
735,10
736,20
737,20
738,23
739,14
740,20
741,17
742,18
743,12
744,14
745,15
746,14
747,17
748,12
749,18
750,17
751,18
752,12
753,15
754,14
755,17
756,15
757,9
758,6
759,9
760,21
761,13
762,19
763,14
764,17
765,19
766,20
767,7
768,17
769,23
770,14
771,10
772,1
773,20
774,17
776,15
777,8
778,8
779,16
780,16
781,9
782,9
783,13
784,9
785,20
786,12
787,9
788,16
789,15
790,18
791,3
792,7
793,1
794,19
795,12
796,10
797,22
798,1
799,1
800,8
801,16
802,12
803,14
804,12
805,6
806,18
807,21
808,11
809,12
810,12
811,11
812,11
813,12
814,2
815,14
816,16
817,20
818,20
819,10
820,8
821,18
822,9
823,14
824,21
825,19
826,11
827,21
828,15
829,19
830,16
831,20
832,21
833,1
834,11
835,11
836,17
837,12
838,22
839,20
840,20
841,9
842,19
843,17
844,22
845,20
846,4
847,19
848,23
849,13
850,13
851,12
852,13
853,19
854,18
855,9
856,22
857,17
858,18
859,5
860,12
861,10
862,21
863,7
864,10
865,13
866,12
867,6
868,15
869,12
870,23
871,23
872,23
873,16
874,23
875,0
876,10
877,13
878,15
879,15
880,6
881,6
882,21
883,8
884,17
885,17
886,21
887,22
888,19
889,16
890,19
891,14
892,11
893,12
894,12
895,0
896,20
897,9
898,11
899,9
900,19
901,13
902,18
903,18
904,14
905,21
906,17
907,15
908,14
909,17
910,15
911,1
912,19
913,14
914,11
915,21
916,7
917,9
918,16
919,18
920,21
921,9
922,15
923,13
924,11
925,18
926,22
927,15
928,13
929,14
930,5
931,11
932,19
933,8
934,19
935,10
936,8
937,20
938,9
939,23
940,20
941,20
942,17
943,15
944,10
945,12
946,12
947,9
948,20
949,22
950,22
951,11
952,22
953,11
954,17
955,10
956,8
957,12
958,19
959,1
960,17
961,13
962,8
963,11
964,5
965,21
966,20
967,12
968,15
969,9
970,20
971,19
972,20
973,20
974,20
975,16
976,18
977,2
978,13
979,13
980,21
981,21
982,17
983,9
984,9
985,9
986,13
987,16
988,0
989,18
990,12
991,10
992,10
993,10
994,16
995,22
996,22
997,13
998,18
999,20
1000,14
1001,18
1002,17
1003,13
1004,23
1005,19
1006,19
1007,18
1008,17
1009,14
1010,19
1011,17
1012,7
1013,20
1014,9
1015,23
1016,23
1017,15
1018,20
1019,15
1020,11
1021,10
1022,16
1023,10
1024,9
1025,14
1026,9
1028,15
1029,15
1030,19
1031,11
1032,14
1033,10
1034,20
1035,17
1036,2
1037,11
1038,9
1039,12
1040,11
1041,20
1042,14
1043,12
1044,11
1045,20
1046,0
1047,0
1048,12
1049,14
1050,9
1051,16
1052,17
1053,22
1054,8
1055,22
1056,12
1057,22
1058,18
1059,19
1060,15
1061,17
1062,15
1063,12
1064,22
1065,16
1066,12
1067,20
1068,11
1069,10
1070,17
1071,20
1072,20
1073,17
1074,12
1075,20
1076,12
1077,0
1078,15
1079,7
1080,18
1081,19
1082,15
1083,19
1084,17
1085,22
1086,13
1087,20
1088,8
1089,22
1090,18
1091,12
1092,18
1093,18
1094,11
1095,11
1096,20
1097,11
1098,13
1099,18
1100,18
1101,17
1102,10
1103,22
1104,19
1105,20
1106,17
1107,16
1108,19
1109,9
1110,18
1111,9
1112,21
1113,9
1114,18
1115,18
1116,12
1117,22
1118,22
1119,12
1120,19
1121,9
1122,14
1123,18
1124,12
1125,12
1126,12
1127,20
1128,13
1129,6
1130,10
1131,13
1132,19
1133,17
1134,14
1135,16
1136,9
1137,13
1138,14
1139,18
1140,22
1141,19
1142,21
1143,4
1144,23
1145,23
1146,20
1147,20
1148,9
1149,8
1150,12
1151,18
1152,9
1153,12
1154,17
1155,12
1156,23
1157,14
1158,22
1159,9
1160,20
1161,21
1162,10
1163,19
1164,16
1165,22
1166,11
1167,8
1168,17
1169,14
1170,17
1171,1
1172,12
1173,16
1174,14
1175,11
1176,8
1177,11
1178,19
1179,13
1180,20
1181,21
1182,7
1183,16
1184,10
1185,11
1186,22
1187,21
1188,15
1189,20
1190,23
1191,19
1192,11
1193,10
1194,4
1195,0
1196,17
1197,9
1198,9
1199,23
1200,22
1201,16
1202,16
1203,9
1204,8
1205,14
1206,16
1207,22
1208,9
1209,7
1210,20
1211,0
1212,23
1213,17
1214,15
1215,16
1216,17
1217,10
1218,8
1219,14
1220,14
1221,18
1222,21
1223,17
1224,19
1225,22
1226,14
1227,13
1228,20
1229,22
1230,12
1231,18
1232,10
1233,11
1234,10
1235,22
1236,13
1237,11
1238,23
1239,18
1240,22
1241,10
1242,21
1243,15
1244,21
1245,9
1246,21
1247,15
1248,12
1249,19
1250,14
1251,12
1252,11
1253,14
1254,14
1255,12
1256,21
1257,5
1258,7
1259,20
1260,19
1261,12
1262,14
1263,13
1264,20
1265,0
1266,11
1267,15
1268,21
1269,19
1270,0
1271,14
1272,9
1273,12
1274,18
1275,18
1276,18
1277,21
1278,19
1279,22
1280,22
1281,12
1282,16
1283,16
1284,0
1285,21
1286,7
1287,12
1288,17
1289,15
1290,20
1291,11
1292,13
1293,20
1294,14
1295,20
1296,16
1297,12
1298,7
1299,18
1300,15
1301,16
1302,10
1303,19
1304,12
1305,20
1306,13
1307,16
1308,20
1309,18
1310,22
1311,22
1312,14
1313,22
1314,22
1315,12
1316,18
1317,14
1318,22
1319,14
1320,12
1321,1
1322,15
1323,10
1324,9
1325,18
1326,21
1327,9
1328,17
1329,17
1330,17
1331,16
1332,13
1333,20
1334,20
1335,17
1336,8
1337,22
1338,15
1339,8
1340,8
1341,10
1342,13
1343,8
1344,17
1345,15
1346,15
1347,12
1348,19
1349,20
1350,18
1351,9
1352,22
1353,9
1354,11
1355,16
1356,8
1357,10
1358,11
1359,21
1360,20
1361,17
1362,14
1363,12
1364,21
1365,16
1366,22
1367,14
1368,14
1369,4
1370,19
1371,0
1372,9
1373,14
1374,1
1375,20
1376,21
1377,19
1378,14
1379,12
1380,22
1381,19
1382,19
1383,21
1384,9
1385,17
1386,12
1387,13
1388,11
1389,10
1390,19
1392,16
1393,19
1394,10
1395,15
1396,5
1397,21
1398,21
1399,9
1400,19
1401,11
1402,14
1403,14
1404,11
1405,20
1406,23
1407,9
1408,13
1409,20
1410,13
1411,0
1412,19
1413,22
1414,14
1415,20
1416,12
1417,11
1418,16
1419,3
1420,17
1421,17
1422,22
1423,10
1424,16
1425,4
1426,7
1427,14
1428,10
1429,8
1430,10
1431,23
1432,18
1433,18
1434,12
1435,0
1436,0
1437,10
1439,16
1440,10
1441,12
1442,0
1443,22
1444,23
1445,3
1446,14
1447,13
1448,22
1449,16
1450,21
1451,17
1452,21
1453,13
1454,20
1455,15
1456,20
1457,13
1458,14
1459,17
1460,11
1461,11
1462,21
1463,10
1464,12
1465,8
1466,16
1467,1
1468,18
1469,19
1470,12
1471,16
1472,16
1473,19
1474,23
1475,18
1476,21
1477,11
1478,23
1479,17
1480,22
1481,10
1482,20
1483,18
1484,15
1485,16
1486,11
1487,21
1488,21
1489,21
1490,12
1491,13
1492,16
1493,20
1494,16
1495,20
1496,20
1497,23
1498,5
1499,10
1500,20
1501,18
1502,14
1503,10
1504,17
1505,10
1506,19
1507,11
1508,21
1509,17
1510,0
1511,18
1512,11
1513,11
1514,17
1515,6
1516,10
1517,21
1518,13
1519,13
1520,13
1521,11
1522,23
1523,23
1524,13
1525,13
1526,21
1527,2
1528,16
1529,17
1530,23
1531,16
1532,14
1533,23
1534,14
1535,17
1536,20
1537,21
1538,21
1539,10
1540,23
1541,11
1542,11
1543,2
1544,12
1545,22
1546,14
1547,20
1548,13
1549,13
1550,2
1551,12
1552,19
1553,13
1554,19
1555,11
1556,14
1557,23
1558,15
1559,20
1560,13
1561,22
1562,21
1563,17
1564,20
1565,10
1566,11
1567,17
1568,17
1569,14
1570,13
1571,11
1572,19
1573,23
1574,0
1575,16
1576,15
1577,21
1578,0
1579,5
1580,20
1581,20
1582,15
1583,17
1584,14
1585,0
1586,19
1587,12
1588,11
1589,12
1590,7
1591,17
1592,19
1593,15
1594,12
1595,23
1596,22
1597,13
1598,17
1599,8
1600,2
1601,12
1602,20
1603,22
1604,22
1605,13
1606,17
1607,20
1608,17
1609,19
1610,20
1611,8
1612,16
1613,23
1614,17
1615,22
1616,20
1617,15
1618,20
1619,14
1620,20
1621,13
1622,21
1623,8
1625,12
1626,20
1627,16
1628,11
1629,0
1630,0
1631,17
1632,23
1633,23
1634,22
1635,15
1636,20
1637,17
1638,9
1639,20
1640,20
1641,14
1642,18
1643,20
1644,15
1645,15
1646,22
1647,18
1648,10
1649,21
1650,14
1651,18
1652,13
1653,13
1654,6
1655,9
1656,9
1657,12
1658,9
1659,20
1660,19
1661,19
1662,23
1663,19
1664,21
1665,12
1667,8
1668,14
1669,12
1670,21
1671,13
1672,11
1673,18
1674,18
1675,9
1676,18
1677,12
1678,3
1679,7
1680,20
1681,12
1682,16
1683,22
1684,21
1685,13
1686,22
1687,20
1688,20
1689,13
1690,18
1691,19
1692,16
1693,10
1694,19
1695,21
1696,21
1697,13
1698,9
1699,16
1700,11
1701,20
1702,16
1703,1
1704,9
1705,22
1706,14
1707,10
1708,17
1709,13
1710,1
1711,13
1712,18
1713,20
1714,9
1715,22
1716,12
1717,11
1718,0
1719,12
1721,15
1722,20
1723,16
1724,11
1725,20
1726,11
1727,11
1728,20
1729,20
1730,22
1731,23
1732,7
1733,20
1734,10
1735,22
1736,2
1737,18
1738,9
1739,1
1740,19
1741,19
1742,20
1743,19
1744,15
1745,0
1746,4
1747,18
1748,11
1749,18
1750,10
1751,13
1752,17
1753,22
1754,10
1755,11
1756,16
1757,11
1758,16
1759,14
1760,18
1761,5
1762,11
1763,21
1764,21
1765,18
1766,15
1767,18
1768,18
1769,19
1770,5
1771,3
1772,8
1773,12
1774,21
1775,18
1776,20
1777,15
1778,17
1779,7
1780,19
1781,11
1782,11
1783,8
1784,18
1785,11
1786,17
1787,14
1788,14
1789,8
1790,10
1791,10
1792,5
1793,15
1794,11
1795,21
1796,10
1797,19
1798,17
1799,0
1800,12
1801,11
1802,16
1803,15
1804,14
1805,10
1806,15
1807,10
1808,15
1809,13
1810,11
1811,11
1812,17
1813,16
1814,17
1815,21
1816,15
1817,9
1818,12
1819,12
1820,21
1821,12
1822,18
1823,0
1824,15
1825,14
1826,21
1827,21
1828,9
1829,21
1830,13
1831,9
1832,17
1833,9
1834,14
1835,22
1836,23
1837,21
1838,18
1839,19
1840,0
1841,11
1842,7
1843,19
1844,11
1845,18
1846,19
1847,15
1848,14
1849,16
1850,2
1851,9
1852,16
1853,15
1854,16
1855,7
1856,13
1857,14
1858,22
1859,20
1860,16
1861,19
1862,22
1863,0
1864,13
1865,21
1866,21
1867,21
1868,7
1869,18
1870,12
1871,18
1872,19
1873,15
1874,22
1875,22
1876,17
1877,23
1878,23
1879,11
1880,18
1881,8
1882,11
1883,11
1884,8
1885,19
1886,12
1887,13
1888,8
1889,14
1890,12
1891,9
1892,20
1893,1
1894,22
1895,18
1896,20
1897,16
1898,23
1899,17
1900,5
1901,14
1902,23
1903,21
1904,14
1905,21
1906,1
1907,12
1908,19
1909,23
1910,20
1911,18
1912,8
1913,10
1914,2
1915,9
1916,9
1917,18
1918,9
1919,11
1920,11
1921,12
1922,15
1923,9
1924,12
1925,19
1926,19
1927,8
1928,12
1929,12
1930,12
1931,9
1932,19
1933,11
1934,17
1935,8
1936,6
1937,11
1938,22
1939,6
1940,21
1941,11
1942,11
1943,11
1944,20
1945,20
1946,18
1947,9
1948,9
1949,23
1950,10
1951,21
1952,23
1953,10
1954,10
1955,9
1956,1
1957,10
1958,5
1959,13
1960,14
1961,8
1962,12
1963,12
1964,17
1965,19
1966,11
1967,17
1968,10
1969,10
1970,0
1971,16
1972,23
1973,12
1974,22
1975,17
1976,23
1977,23
1978,19
1979,17
1980,12
1981,14
1982,21
1983,20
1984,14
1985,12
1986,22
1987,11
1988,14
1989,21
1990,20
1991,11
1992,20
1993,13
1994,12
1995,13
1996,18
1997,19
1998,18
1999,3
2000,17
2001,19
2002,20
2003,7
2004,21
2005,14
2006,20
2007,20
2008,12
2009,6
2010,8
2011,20
2012,10
2013,1
2014,10
2015,8
2017,7
2018,18
2019,21
2020,17
2021,0
2022,9
2023,21
2024,15
2025,22
2026,14
2027,15
2028,17
2029,20
2030,0
2031,0
2032,15
2033,17
2034,11
2035,10
2036,13
2037,11
2038,3
2039,17
2040,22
2041,11
2042,8
2043,13
2044,14
2045,19
2046,19
2047,12
2048,22
2049,18
2050,17
2051,17
2052,17
2053,15
2054,7
2055,12
2056,8
2057,21
2058,12
2059,14
2060,16
2061,19
2062,19
2063,4
2064,9
2065,18
2066,16
2067,11
2068,16
2069,13
2070,12
2071,21
2072,9
2073,1
2074,6
2075,17
2076,17
2077,12
2078,21
2079,9
2080,22
2081,14
2082,12
2083,15
2084,20
2085,13
2086,7
2087,16
2088,13
2089,19
2090,10
2091,21
2092,23
2093,17
2094,10
2095,13
2096,23
2097,14
2098,20
2099,9
2100,12
2101,13
2102,6
2103,18
2104,14
2105,7
2106,8
2107,14
2108,15
2109,17
2110,17
2111,19
2112,13
2113,12
2114,14
2115,12
2116,16
2117,4
2118,21
2119,18
2120,9
2121,20
2122,21
2123,20
2124,23
2125,10
2126,9
2127,19
2128,8
2129,12
2130,11
2131,11
2132,1
2133,20
2134,2
2135,15
2136,0
2137,21
2138,14
2139,14
2140,20
2141,18
2142,14
2143,16
2144,20
2145,16
2146,18
2147,22
2148,15
2149,20
2150,21
2151,19
2152,17
2153,19
2154,16
2155,22
2156,6
2157,12
2158,14
2159,17
2160,11
2161,20
2162,16
2163,0
2164,22
2165,16
2166,1
2167,1
2168,13
2169,11
2170,21
2171,22
2172,10
2173,15
2174,15
2175,17
2176,20
2177,19
2178,10
2179,7
2180,13
2181,8
2182,17
2183,18
2184,17
2185,17
2186,23
2187,11
2188,17
2189,16
2190,14
2191,14
2192,18
2193,11
2194,20
2195,20
2196,23
2197,17
2198,12
2199,23
2200,14
2201,5
2202,12
2203,12
2204,23
2205,23
2206,14
2207,20
2209,14
2210,9
2211,18
2212,17
2213,14
2214,23
2215,0
2216,16
2217,21
2218,10
2219,12
2220,19
2221,19
2222,10
2223,22
2224,16
2225,13
2226,19
2227,16
2228,7
2229,19
2230,11
2231,15
2232,8
2233,7
2234,17
2235,16
2236,23
2237,14
2238,8
2239,23
2240,18
2241,9
2242,1
2243,10
2244,18
2245,13
2246,16
2247,11
2248,22
2249,17
2250,18
2251,14
2252,21
2253,21
2254,12
2255,21
2256,19
2257,12
2258,9
2259,10
2260,2
2261,22
2262,19
2263,19
2264,14
2265,11
2266,21
2267,16
2268,21
2269,9
2270,0
2271,13
2272,18
2273,15
2274,14
2275,5
2276,18
2277,22
2278,20
2279,7
2280,21
2281,12
2282,16
2283,21
2284,21
2285,10
2286,19
2287,20
2288,7
2289,17
2290,13
2291,13
2292,12
2293,11
2294,20
2295,19
2296,14
2297,11
2298,13
2299,7
2300,17
2301,18
2302,18
2303,14
2304,20
2305,6
2306,11
2307,20
2308,16
2309,11
2310,8
2311,18
2312,20
2313,17
2314,16
2315,18
2316,2
2317,11
2318,11
2319,13
2320,7
2321,13
2322,8
2323,11
2324,11
2325,13
2326,13
2327,11
2328,10
2329,11
2330,21
2331,8
2332,16
2333,7
2334,13
2335,0
2336,22
2337,19
2338,18
2339,19
2340,20
2341,17
2342,0
2343,16
2344,21
2345,11
2346,10
2347,23
2348,7
2349,11
2350,4
2351,16
2352,7
2353,7
2354,7
2355,11
2356,19
2357,12
2358,13
2359,12
2360,8
2361,18
2362,15
2363,13
2364,19
2365,14
2366,8
2367,2
2368,19
2369,19
2370,2
2371,15
2372,9
2373,18
2374,23
2375,10
2376,12
2377,22
2378,19
2379,8
2380,9
2381,21
2382,14
2383,13
2384,17
2385,0
2386,7
2387,13
2388,22
2389,14
2391,7
2392,18
2393,3
2394,11
2395,11
2396,18
2397,21
2398,19
2399,7
2400,15
2401,18
2402,13
2403,9
2404,18
2405,14
2406,19
2407,13
2408,19
2409,20
2410,12
2411,18
2412,12
2413,23
2414,8
2415,19
2416,19
2417,18
2418,12
2419,9
2420,10
2421,21
2422,23
2423,11
2424,0
2425,11
2426,15
2427,18
2428,20
2429,18
2430,19
2431,11
2432,19
2433,6
2434,8
2435,8
2436,22
2437,12
2438,8
2439,10
2440,12
2441,22
2442,11
2443,10
2444,11
2445,11
2446,14
2447,16
2448,22
2449,10
2450,21
2451,11
2452,22
2453,6
2454,17
2455,11
2456,11
2457,11
2458,19
2459,9
2460,5
2461,20
2462,0
2463,18
2464,7
2465,7
2466,7
2467,6
2468,17
2469,20
2470,0
2471,21
2472,15
2473,8
2474,9
2475,13
2476,15
2477,20
2478,12
2479,11
2480,19
2481,13
2482,15
2483,17
2484,6
2485,19
2486,21
2487,6
2488,16
2489,15
2490,14
2491,23
2492,8
2493,22
2494,21
2495,20
2496,10
2497,14
2498,18
2499,15
2500,9
2501,13
2502,23
2503,16
2504,15
2505,13
2506,8
2507,15
2508,16
2509,15
2510,15
2511,9
2512,16
2513,15
2514,15
2515,11
2516,13
2517,22
2518,12
2519,14
2520,14
2521,17
2522,12
2523,17
2524,18
2525,14
2526,14
2527,21
2528,23
2529,21
2530,10
2531,13
2532,14
2533,22
2534,20
2535,16
2536,17
2537,17
2538,17
2539,18
2540,23
2541,5
2542,5
2543,19
2544,9
2545,17
2546,21
2547,13
2548,16
2549,17
2550,14
2551,10
2552,17
2553,21
2554,22
2555,22
2556,15
2557,20
2558,20
2559,18
2560,19
2561,11
2562,12
2563,17
2564,20
2565,16
2566,11
2567,21
2568,16
2569,19
2570,19
2571,14
2572,10
2573,16
2574,18
2575,19
2576,2
2577,20
2578,9
2580,11
2581,0
2582,13
2583,8
2584,2
2585,19
2586,14
2587,14
2588,9
2589,8
2590,21
2591,15
2592,11
2593,20
2594,23
2595,11
2596,19
2597,19
2598,0
2599,0
2600,13
2601,19
2602,18
2603,1
2604,10
2605,9
2606,14
2607,8
2608,13
2609,15
2610,15
2611,15
2612,17
2613,7
2614,15
2615,11
2616,11
2617,18
2618,12
2619,22
2620,15
2621,13
2622,20
2623,15
2624,7
2625,21
2626,21
2627,12
2628,12
2629,6
2630,14
2632,17
2633,20
2634,12
2635,11
2636,13
2637,12
2638,13
2639,10
2640,1
2641,17
2642,22
2643,11
2644,11
2645,17
2646,22
2647,12
2648,17
2649,15
2650,9
2651,19
2652,1
2653,10
2654,17
2655,21
2656,21
2657,14
2658,19
2659,23
2660,16
2661,13
2662,11
2663,23
2664,13
2665,21
2666,7
2667,13
2668,15
2669,12
2670,13
2671,9
2672,21
2673,17
2674,7
2675,8
2676,15
2677,23
2678,16
2679,21
2680,20
2681,10
2682,10
2683,11
2684,0
2685,23
2686,9
2687,21
2688,5
2689,15
2690,9
2691,17
2692,20
2693,0
2694,12
2695,7
2696,7
2697,10
2698,23
2699,21
2700,13
2701,20
2702,12
2703,13
2704,21
2705,21
2706,10
2707,19
2708,8
2709,15
2710,23
2711,20
2712,9
2713,22
2714,9
2715,17
2716,12
2717,10
2718,19
2719,10
2720,10
2721,15
2722,0
2723,22
2724,0
2725,21
2726,13
2727,6
2728,16
2729,11
2730,20
2731,20
2732,23
2733,7
2734,19
2735,21
2736,13
2737,14
2738,13
2739,1
2740,19
2741,22
2742,20
2743,11
2744,1
2745,8
2746,14
2747,14
2748,19
2749,9
2750,21
2751,18
2752,11
2753,18
2754,20
2755,14
2756,11
2757,11
2758,20
2759,12
2760,9
2761,10
2762,21
2763,17
2764,19
2765,9
2766,12
2767,18
2768,11
2769,22
2770,16
2771,14
2772,20
2773,13
2774,19
2775,4
2776,10
2777,19
2778,21
2779,17
2780,17
2781,8
2782,10
2783,10
2784,8
2785,12
2786,13
2787,20
2788,12
2789,12
2790,18
2791,11
2792,16
2793,23
2794,17
2795,14
2796,16
2797,12
2798,15
2799,8
2800,13
2801,14
2802,21
2803,18
2804,13
2805,0
2806,22
2807,21
2808,20
2809,16
2810,13
2811,19
2812,10
2813,12
2814,20
2815,7
2816,15
2817,10
2818,12
2819,14
2820,15
2821,14
2822,11
2823,17
2824,11
2825,20
2826,20
2827,17
2828,12
2829,10
2830,20
2831,9
2832,17
2833,9
2834,18
2835,15
2836,14
2837,0
2838,12
2839,13
2840,6
2841,16
2842,14
2843,13
2844,17
2845,20
2846,11
2847,21
2848,7
2849,18
2850,16
2851,10
2852,21
2853,11
2854,20
2855,14
2856,10
2857,12
2858,17
2859,1
2860,17
2861,22
2862,13
2863,1
2864,13
2865,12
2866,20
2867,16
2868,22
2869,17
2870,13
2871,18
2872,14
2873,23
2874,9
2875,9
2876,14
2877,19
2878,14
2879,9
2880,9
2881,11
2882,15
2883,19
2884,22
2885,11
2886,12
2887,0
2888,16
2889,16
2890,10
2891,15
2892,17
2893,17
2894,17
2895,17
2896,0
2897,9
2898,17
2899,17
2900,22
2901,14
2902,20
2903,16
2904,0
2905,11
2906,16
2907,17
2908,17
2909,21
2910,17
2911,20
2912,23
2913,23
2914,18
2915,6
2916,15
2917,14
2918,22
2919,22
2920,11
2921,18
2922,9
2923,11
2924,20
2925,11
2926,18
2927,9
2928,16
2929,20
2930,15
2931,11
2932,10
2933,16
2934,0
2935,20
2936,23
2937,19
2938,7
2939,18
2940,5
2941,14
2942,19
2943,9
2944,19
2945,18
2946,12
2947,18
2948,20
2949,21
2950,14
2952,16
2953,23
2954,12
2955,15
2956,22
2957,11
2958,9
2959,0
2960,21
2961,12
2962,18
2963,23
2964,15
2965,12
2966,16
2967,13
2968,17
2969,13
2970,14
2971,17
2972,16
2973,15
2974,7
2975,7
2976,13
2977,8
2978,8
2979,9
2980,0
2981,6
2982,23
2983,9
2984,14
2985,18
2986,14
2987,13
2988,10
2989,10
2990,19
2991,18
2992,12
2993,10
2994,2
2995,10
2996,22
2997,13
2998,13
2999,8
3000,12
3001,12
3002,17
3003,17
3004,20
3005,17
3006,17
3007,10
3008,15
3009,21
3010,10
3011,14
3012,15
